Disaster Type,Disaster Subtype,Latitude,Longitude,Start Year,Start Month,Start Day,End Year,End Month,End Day,Magnitude,Magnitude Scale,"Total Damage, Adjusted ('000 US$)",Total Damage ('000 US$),Total Affected,No. Affected,Total Deaths
Storm,Tropical cyclone,24.0,112.11,2006,7.0,11.0,2006,7.0,17.0,120.0,Kph,4668.0,3000.0,51680.0,51680.0,37.0
Flood,Riverine flood,-72.64,-37.26,2006,7.0,11.0,2006,7.0,17.0,5030.0,Km2,0.0,0.0,95862.0,95862.0,18.0
Flood,Riverine flood,47.73,128.9,2006,7.0,11.0,2006,7.0,13.0,1400.0,Km2,0.0,0.0,4000.0,4000.0,0.0
Flood,Riverine flood,22.35,109.4,2006,7.0,7.0,2006,7.0,11.0,20120.0,Km2,48238.0,31000.0,1400000.0,1400000.0,10.0
Flood,Riverine flood,11.43,103.53,2006,7.0,6.0,2006,7.0,7.0,11610.0,Km2,0.0,0.0,5000.0,5000.0,0.0
Flood,Riverine flood,22.41,71.31,2006,7.0,4.0,2006,7.0,7.0,170100.0,Km2,0.0,0.0,8400.0,8400.0,24.0
Flood,Riverine flood,19.17,83.65,2006,7.0,3.0,2006,7.0,8.0,31360.0,Km2,0.0,0.0,0.0,0.0,33.0
Flood,Riverine flood,43.32,83.77,2006,7.0,2.0,2006,7.0,5.0,138200.0,Km2,0.0,0.0,2416.0,2400.0,20.0
Flood,Riverine flood,35.34,136.22,2006,6.0,19.0,2006,7.0,20.0,47890.0,Km2,0.0,0.0,6232.0,6200.0,34.0
Flood,Riverine flood,34.61,73.2,2006,7.0,24.0,2006,8.0,22.0,42570.0,Km2,0.0,0.0,2000.0,2000.0,40.0
Flood,Riverine flood,31.54,130.99,2006,7.0,22.0,2006,7.0,26.0,6130.0,Km2,0.0,0.0,4300.0,4300.0,8.0
Flood,Riverine flood,17.75,-15.0,2006,7.0,22.0,2006,7.0,24.0,60.0,Km2,0.0,0.0,1619.0,0.0,7.0
Flood,Flash flood,24.66,102.18,2006,7.0,20.0,2006,7.0,21.0,1666.0,Km2,0.0,0.0,0.0,0.0,35.0
Flood,Riverine flood,6.94,6.35,2006,7.0,15.0,2006,7.0,17.0,724.0,Km2,0.0,0.0,2000.0,2000.0,0.0
Flood,Riverine flood,39.04,106.59,2006,7.0,14.0,2006,7.0,17.0,1726.0,Km2,0.0,0.0,1200.0,1200.0,1.0
Flood,Riverine flood,31.76,-106.39,2006,7.0,27.0,2006,8.0,7.0,3610.0,Km2,155606.0,100000.0,0.0,0.0,0.0
Flood,Riverine flood,25.03,67.12,2006,8.0,1.0,2006,8.0,22.0,2748.0,Km2,0.0,0.0,5050.0,0.0,74.0
Flood,Riverine flood,34.08,69.75,2006,7.0,30.0,2006,8.0,9.0,3116.0,Km2,0.0,0.0,8000.0,0.0,54.0
Flood,Riverine flood,20.19,73.82,2006,7.0,28.0,2006,9.0,12.0,165400.0,Km2,5275047.0,3390000.0,4000065.0,0.0,350.0
Flood,Riverine flood,41.52,-81.09,2006,7.0,27.0,2006,7.0,30.0,4720.0,Km2,0.0,0.0,600.0,600.0,1.0
Flood,Riverine flood,46.04,7.39,2006,7.0,5.0,2006,7.0,27.0,364.0,Km2,0.0,0.0,3000.0,3000.0,0.0
Flood,Flash flood,9.67,42.19,2006,8.0,5.0,2006,8.0,8.0,4225.0,Km2,4979.0,3200.0,10096.0,10000.0,498.0
Flood,Flash flood,2.665,45.45,2006,8.0,4.0,2006,8.0,9.0,3845.0,Km2,0.0,0.0,2000.0,2000.0,5.0
Flood,Riverine flood,-33.538,26.3,2006,8.0,2.0,2006,8.0,4.0,21840.0,Km2,225629.0,145000.0,3000.0,3000.0,6.0
Flood,Riverine flood,5.24,36.22,2006,8.0,13.0,2006,9.0,11.0,13560.0,Km2,0.0,0.0,8000.0,8000.0,364.0
Flood,Riverine flood,17.76,106.15,2006,8.0,12.0,2006,8.0,30.0,119500.0,Km2,12448.0,8000.0,50020.0,50000.0,42.0
Flood,Riverine flood,11.06,104.68,2006,8.0,10.0,2006,11.0,1.0,55860.0,Km2,0.0,0.0,33000.0,33000.0,5.0
Flood,Riverine flood,62.45,-99.99,2006,8.0,19.0,2006,8.0,24.0,95940.0,Km2,24119.0,15500.0,150.0,150.0,0.0
Flood,Riverine flood,1.38,34.28,2006,8.0,12.0,2006,8.0,21.0,4050.0,Km2,0.0,0.0,1680.0,1680.0,3.0
Storm,Tropical cyclone,34.74,-77.87,2006,8.0,2.0,2006,9.0,7.0,119.0,Kph,51132.0,32860.0,140.0,140.0,6.0
Flood,Flash flood,34.7,102.68,2006,8.0,30.0,2006,8.0,31.0,16920.0,Km2,0.0,0.0,0.0,0.0,15.0
Storm,Tropical cyclone,25.35,-111.81,2006,9.0,2.0,2006,9.0,4.0,215.0,Kph,0.0,0.0,10000.0,10000.0,7.0
Flood,Riverine flood,23.23,89.27,2006,8.0,24.0,2006,9.0,20.0,28080.0,Km2,0.0,0.0,135775.0,135775.0,0.0
Storm,Tropical cyclone,24.47,-107.04,2006,9.0,16.0,2006,9.0,18.0,250.0,Kph,4201.0,2700.0,240700.0,240700.0,4.0
Storm,Tropical cyclone,16.68,107.21,2006,9.0,27.0,2006,10.0,6.0,160.0,Kph,175835.0,113000.0,3842406.0,3842000.0,228.0
Storm,Tropical cyclone,16.68,107.21,2006,9.0,27.0,2006,10.0,6.0,148.0,Kph,970982.0,624000.0,1467925.0,1368720.0,71.0
Flood,Riverine flood,18.76,100.02,2006,8.0,20.0,2006,12.0,13.0,175800.0,Km2,15467.0,9940.0,2212413.0,2212413.0,164.0
Flood,Flash flood,40.76,23.65,2006,10.0,8.0,2006,10.0,12.0,1000.0,Km2,8806.0,5659.0,3000.0,3000.0,1.0
Flood,Riverine flood,19.91,95.45,2006,9.0,15.0,2006,10.0,19.0,188000.0,Km2,0.0,0.0,10000.0,10000.0,25.0
Flood,Riverine flood,37.21,-87.62,2006,9.0,22.0,2006,9.0,26.0,146000.0,Km2,0.0,0.0,1210.0,1200.0,14.0
Flood,Riverine flood,27.59,81.52,2006,8.0,29.0,2006,9.0,4.0,32700.0,Km2,0.0,0.0,100000.0,100000.0,42.0
Flood,Riverine flood,3.1,45.44,2006,8.0,24.0,2006,10.0,10.0,22490.0,Km2,0.0,0.0,30000.0,30000.0,5.0
Flood,Riverine flood,60.88,-145.99,2006,10.0,9.0,2006,10.0,14.0,51560.0,Km2,0.0,0.0,100.0,100.0,0.0
Flood,Riverine flood,23.34,102.64,2006,10.0,6.0,2006,10.0,12.0,24770.0,Km2,0.0,0.0,20004.0,20000.0,27.0
Flood,Flash flood,35.62,63.54,2006,11.0,16.0,2006,11.0,20.0,5000.0,Km2,0.0,0.0,17580.0,17575.0,166.0
Flood,Riverine flood,-4.24,15.43,2006,11.0,4.0,2006,11.0,18.0,1300.0,Km2,0.0,0.0,5000.0,0.0,6.0
Flood,Riverine flood,47.86,-122.15,2006,11.0,5.0,2006,11.0,10.0,57890.0,Km2,0.0,0.0,1500.0,1500.0,2.0
Flood,Flash flood,36.23,44.81,2006,11.0,5.0,2006,11.0,7.0,19960.0,Km2,0.0,0.0,18020.0,18000.0,20.0
Storm,Tropical cyclone,17.02,121.82,2006,10.0,30.0,2006,11.0,1.0,230.0,Kph,14124.0,9077.0,283021.0,282963.0,34.0
Flood,Riverine flood,14.13,79.93,2006,10.0,26.0,2006,11.0,4.0,40090.0,Km2,0.0,0.0,225000.0,225000.0,47.0
Flood,Riverine flood,7.32,80.03,2006,10.0,26.0,2006,11.0,20.0,6890.0,Km2,4668.0,3000.0,333002.0,333000.0,25.0
Flood,Riverine flood,7.61,125.83,2006,10.0,21.0,2006,10.0,27.0,3680.0,Km2,1187.0,763.0,40000.0,40000.0,2.0
Flood,Flash flood,37.64,39.65,2006,10.0,27.0,2006,11.0,7.0,122300.0,Km2,493271.0,317000.0,63015.0,63000.0,47.0
Flood,Riverine flood,8.9,-78.71,2006,11.0,21.0,2006,11.0,30.0,17730.0,Km2,0.0,0.0,4530.0,3240.0,11.0
Storm,Tropical cyclone,10.33,106.74,2006,11.0,30.0,2006,12.0,8.0,195.0,Kph,103322.0,66400.0,2562517.0,2560374.0,1399.0
Flood,Flash flood,-15.96,34.51,2006,11.0,27.0,2006,11.0,29.0,2760.0,Km2,0.0,0.0,8000.0,0.0,5.0
Flood,Flash flood,18.5,-73.48,2006,11.0,28.0,2006,12.0,1.0,6300.0,Km2,0.0,0.0,20010.0,20000.0,11.0
Flood,Flash flood,1.87,103.22,2006,12.0,19.0,2006,12.0,20.0,18300.0,Km2,34233.0,22000.0,100000.0,100000.0,6.0
Flood,Riverine flood,12.44,124.77,2006,12.0,27.0,2006,12.0,29.0,1410.0,Km2,5283.0,3395.0,415618.0,415618.0,0.0
Flood,Riverine flood,18.1,81.53,2006,8.0,1.0,2006,9.0,10.0,302800.0,Km2,0.0,0.0,2000000.0,2000000.0,185.0
Flood,Flash flood,-22.42,-44.0,2007,1.0,1.0,2007,1.0,12.0,210600.0,Km2,189113.0,125000.0,200080.0,200000.0,59.0
Flood,Riverine flood,-12.95,24.37,2007,1.0,10.0,2007,5.0,10.0,289.6,Km2,0.0,0.0,1400000.0,1400000.0,4.0
Flood,Riverine flood,6.71,80.95,2007,1.0,12.0,2007,1.0,14.0,10420.0,Km2,0.0,0.0,35000.0,35000.0,18.0
Flood,Riverine flood,2.19,103.37,2007,1.0,11.0,2007,2.0,1.0,26380.0,Km2,915306.0,605000.0,137533.0,137533.0,17.0
Flood,Riverine flood,7.71,125.22,2007,1.0,10.0,2007,1.0,24.0,44620.0,Km2,6173.0,4080.0,24508.0,24508.0,9.0
Flood,Riverine flood,15.1,43.88,2007,1.0,1.0,2007,1.0,4.0,25390.0,Km2,0.0,0.0,2000.0,2000.0,7.0
Flood,Riverine flood,-8.87,13.36,2007,1.0,17.0,2007,1.0,25.0,1600.0,Km2,0.0,0.0,40000.0,40000.0,105.0
Flood,Riverine flood,34.88,-90.07,2007,1.0,15.0,2007,1.0,25.0,434.4,Km2,0.0,0.0,0.0,0.0,24.0
Flood,Riverine flood,-16.97,-61.96,2007,1.0,10.0,2007,5.0,1.0,801000.0,Km2,136161.0,90000.0,339495.0,339495.0,40.0
Flood,Riverine flood,-6.22,106.83,2007,1.0,31.0,2007,2.0,22.0,1800.0,Km2,1469029.0,971000.0,217087.0,217086.0,68.0
Flood,Riverine flood,-1.73,29.48,2007,2.0,3.0,2007,2.0,16.0,1340.0,Km2,14.0,9.0,500.0,500.0,10.0
Flood,Coastal flood,-18.49,46.34,2007,2.0,8.0,2007,2.0,8.0,438800.0,Km2,0.0,0.0,33000.0,33000.0,7.0
Flood,Flash flood,-8.57,120.76,2007,3.0,1.0,2007,3.0,10.0,3220.0,Km2,0.0,0.0,11556.0,11530.0,74.0
Storm,Tropical cyclone,-14.84,49.94,2007,3.0,15.0,2007,3.0,17.0,230.0,Kph,363097.0,240000.0,215198.0,203182.0,80.0
Flood,Flash flood,16.57,49.13,2007,3.0,23.0,2007,3.0,30.0,59870.0,Km2,0.0,0.0,618.0,600.0,36.0
Flood,Riverine flood,33.25,64.89,2007,3.0,18.0,2007,3.0,26.0,304100.0,Km2,0.0,0.0,20000.0,20000.0,104.0
Flood,Riverine flood,-17.77,177.48,2007,2.0,3.0,2007,2.0,20.0,1690.0,Km2,45387.0,30000.0,900.0,900.0,1.0
Flood,Riverine flood,41.65,-0.65,2007,4.0,3.0,2007,4.0,9.0,100.0,Km2,0.0,0.0,5000.0,5000.0,1.0
